stop_name,display_name,constituent_station_names,station_ids,complex_id,gtfs_stop_ids
Bay 50 St,Bay 50 St (D),Bay 50 St,70,70,B23
8 Av,8 Av (N),8 Av,71,71,N02
Fort Hamilton Pkwy,Fort Hamilton Pkwy (N),Fort Hamilton Pkwy,72,72,N03
18 Av,18 Av (N),18 Av,74,74,N05
20 Av,20 Av (N),20 Av,75,75,N06
Bay Pkwy,Bay Pkwy (N),Bay Pkwy,76,76,N07
Kings Hwy,Kings Hwy (N),Kings Hwy,77,77,N08
Avenue U,Avenue U (N),Avenue U,78,78,N09
86 St,86 St (N),86 St,79,79,N10
121 St,121 St (J Z),121 St,80,80,J12
111 St,111 St (J),111 St,81,81,J13
104 St,104 St (J Z),104 St,82,82,J14
Woodhaven Blvd,Woodhaven Blvd (J Z),Woodhaven Blvd,83,83,J15
85 St-Forest Pkwy,85 St-Forest Pkwy (J),85 St-Forest Pkwy,84,84,J16
75 St-Elderts Ln,75 St-Elderts Ln (J Z),75 St-Elderts Ln,85,85,J17
Cypress Hills,Cypress Hills (J),Cypress Hills,86,86,J19
Crescent St,Crescent St (J Z),Crescent St,87,87,J20
Norwood Av,Norwood Av (J Z),Norwood Av,88,88,J21
Cleveland St,Cleveland St (J),Cleveland St,89,89,J22
Van Siclen Av,Van Siclen Av (J Z),Van Siclen Av,90,90,J23
Alabama Av,Alabama Av (J Z),Alabama Av,91,91,J24
Chauncey St,Chauncey St (J Z),Chauncey St,93,93,J28
Halsey St,Halsey St (J),Halsey St,94,94,J29
Gates Av,Gates Av (J Z),Gates Av,95,95,J30
Kosciuszko St,Kosciuszko St (J),Kosciuszko St,96,96,J31
Myrtle Av,Myrtle Av (M J Z),Myrtle Av,97,97,M11
Flushing Av,Flushing Av (M J),Flushing Av,98,98,M12
Lorimer St,Lorimer St (M J),Lorimer St,99,99,M13
Hewes St,Hewes St (M J),Hewes St,100,100,M14
Marcy Av,Marcy Av (M J Z),Marcy Av,101,101,M16
Bowery,Bowery (J Z),Bowery,103,103,M19
Broad St,Broad St (J Z),Broad St,107,107,M23
Middle Village-Metropolitan Av,Middle Village-Metropolitan Av (M),Middle Village-Metropolitan Av,108,108,M01
Fresh Pond Rd,Fresh Pond Rd (M),Fresh Pond Rd,109,109,M04
Forest Av,Forest Av (M),Forest Av,110,110,M05
Seneca Av,Seneca Av (M),Seneca Av,111,111,M06
Knickerbocker Av,Knickerbocker Av (M),Knickerbocker Av,113,113,M09
Central Av,Central Av (M),Central Av,114,114,M10
3 Av,3 Av (L),3 Av,118,118,L05
1 Av,1 Av (L),1 Av,119,119,L06
Bedford Av,Bedford Av (L),Bedford Av,120,120,L08
Graham Av,Graham Av (L),Graham Av,122,122,L11
Grand St,Grand St (L),Grand St,123,123,L12
Montrose Av,Montrose Av (L),Montrose Av,124,124,L13
Morgan Av,Morgan Av (L),Morgan Av,125,125,L14
Jefferson St,Jefferson St (L),Jefferson St,126,126,L15
DeKalb Av,DeKalb Av (L),DeKalb Av,127,127,L16
Halsey St,Halsey St (L),Halsey St,129,129,L19
Wilson Av,Wilson Av (L),Wilson Av,130,130,L20
Bushwick Av-Aberdeen St,Bushwick Av-Aberdeen St (L),Bushwick Av-Aberdeen St,131,131,L21
Atlantic Av,Atlantic Av (L),Atlantic Av,133,133,L24
Sutter Av,Sutter Av (L),Sutter Av,134,134,L25
Livonia Av,Livonia Av (L),Livonia Av,135,135,L26
New Lots Av,New Lots Av (L),New Lots Av,136,136,L27
East 105 St,East 105 St (L),East 105 St,137,137,L28
Canarsie-Rockaway Pkwy,Canarsie-Rockaway Pkwy (L),Canarsie-Rockaway Pkwy,138,138,L29
Park Pl,Park Pl (S),Park Pl,141,141,S03
Inwood-207 St,Inwood-207 St (A),Inwood-207 St,143,143,A02
Dyckman St,Dyckman St (A),Dyckman St,144,144,A03
190 St,190 St (A),190 St,145,145,A05
181 St,181 St (A),181 St,146,146,A06
175 St,175 St (A),175 St,147,147,A07
163 St-Amsterdam Av,163 St-Amsterdam Av (C),163 St-Amsterdam Av,149,149,A10
155 St,155 St (C),155 St,150,150,A11
145 St,145 St (A C B D),145 St,151,151,A12; D13
135 St,135 St (C B),135 St,152,152,A14
125 St,125 St (A C B D),125 St,153,153,A15
116 St,116 St (C B),116 St,154,154,A16
Cathedral Pkwy (110 St),Cathedral Pkwy (110 St) (C B),Cathedral Pkwy (110 St),155,155,A17
103 St,103 St (C B),103 St,156,156,A18
96 St,96 St (C B),96 St,157,157,A19
86 St,86 St (C B),86 St,158,158,A20
81 St-Museum of Natural History,81 St-Museum of Natural History (C B),81 St-Museum of Natural History,159,159,A21
72 St,72 St (C B),72 St,160,160,A22
50 St,50 St (C E),50 St,162,162,A25
34 St-Penn Station,34 St-Penn Station (A C E),34 St-Penn Station,164,164,A28
23 St,23 St (C E),23 St,165,165,A30
W 4 St-Wash Sq,W 4 St-Wash Sq (A C E B D F M),W 4 St-Wash Sq,167,167,A32; D20
Spring St,Spring St (C E),Spring St,168,168,A33
Canal St,Canal St (A C E),Canal St,169,169,A34
High St,High St (A C),High St,173,173,A40
Hoyt-Schermerhorn Sts,Hoyt-Schermerhorn Sts (A C G),Hoyt-Schermerhorn Sts,175,175,A42
Lafayette Av,Lafayette Av (C),Lafayette Av,176,176,A43
Clinton-Washington Avs,Clinton-Washington Avs (C),Clinton-Washington Avs,177,177,A44
Nostrand Av,Nostrand Av (A C),Nostrand Av,179,179,A46
Kingston-Throop Avs,Kingston-Throop Avs (C),Kingston-Throop Avs,180,180,A47
Utica Av,Utica Av (A C),Utica Av,181,181,A48
Ralph Av,Ralph Av (C),Ralph Av,182,182,A49
Rockaway Av,Rockaway Av (C),Rockaway Av,183,183,A50
Liberty Av,Liberty Av (C),Liberty Av,185,185,A52
Van Siclen Av,Van Siclen Av (C),Van Siclen Av,186,186,A53
Shepherd Av,Shepherd Av (C),Shepherd Av,187,187,A54
Euclid Av,Euclid Av (A C),Euclid Av,188,188,A55
Grant Av,Grant Av (A),Grant Av,189,189,A57
80 St,80 St (A),80 St,190,190,A59
88 St,88 St (A),88 St,191,191,A60
Rockaway Blvd,Rockaway Blvd (A),Rockaway Blvd,192,192,A61
104 St,104 St (A),104 St,193,193,A63
111 St,111 St (A),111 St,194,194,A64
Ozone Park-Lefferts Blvd,Ozone Park-Lefferts Blvd (A),Ozone Park-Lefferts Blvd,195,195,A65
Aqueduct Racetrack,Aqueduct Racetrack (A),Aqueduct Racetrack,196,196,H01
Aqueduct-N Conduit Av,Aqueduct-N Conduit Av (A),Aqueduct-N Conduit Av,197,197,H02
Howard Beach-JFK Airport,Howard Beach-JFK Airport (A),Howard Beach-JFK Airport,198,198,H03
Broad Channel,Broad Channel (A S),Broad Channel,199,199,H04
Beach 90 St,Beach 90 St (A S),Beach 90 St,200,200,H12
Beach 98 St,Beach 98 St (A S),Beach 98 St,201,201,H13
Beach 105 St,Beach 105 St (A S),Beach 105 St,202,202,H14
Rockaway Park-Beach 116 St,Rockaway Park-Beach 116 St (A S),Rockaway Park-Beach 116 St,203,203,H15
Beach 67 St,Beach 67 St (A),Beach 67 St,204,204,H06
Beach 60 St,Beach 60 St (A),Beach 60 St,205,205,H07
Beach 44 St,Beach 44 St (A),Beach 44 St,206,206,H08
Beach 36 St,Beach 36 St (A),Beach 36 St,207,207,H09
Beach 25 St,Beach 25 St (A),Beach 25 St,208,208,H10
Far Rockaway-Mott Av,Far Rockaway-Mott Av (A),Far Rockaway-Mott Av,209,209,H11
Norwood-205 St,Norwood-205 St (D),Norwood-205 St,210,210,D01
Bedford Park Blvd,Bedford Park Blvd (B D),Bedford Park Blvd,211,211,D03
Kingsbridge Rd,Kingsbridge Rd (B D),Kingsbridge Rd,212,212,D04
Fordham Rd,Fordham Rd (B D),Fordham Rd,213,213,D05
182-183 Sts,182-183 Sts (B D),182-183 Sts,214,214,D06
Tremont Av,Tremont Av (B D),Tremont Av,215,215,D07
174-175 Sts,174-175 Sts (B D),174-175 Sts,216,216,D08
170 St,170 St (B D),170 St,217,217,D09
167 St,167 St (B D),167 St,218,218,D10
155 St,155 St (B D),155 St,220,220,D12
21 St-Queensbridge,21 St-Queensbridge (F),21 St-Queensbridge,221,221,B04
Roosevelt Island,Roosevelt Island (F),Roosevelt Island,222,222,B06
Lexington Av/63 St,Lexington Av/63 St (F Q),Lexington Av/63 St,223,223,B08
57 St,57 St (F),57 St,224,224,B10
47-50 Sts-Rockefeller Ctr,47-50 Sts-Rockefeller Ctr (B D F M),47-50 Sts-Rockefeller Ctr,225,225,D15
23 St,23 St (F M),23 St,228,228,D18
Grand St,Grand St (B D),Grand St,231,231,D22
2 Av,2 Av (F),2 Av,232,232,F14
East Broadway,East Broadway (F),East Broadway,234,234,F16
York St,York St (F),York St,235,235,F18
Bergen St,Bergen St (F G),Bergen St,236,236,F20
Carroll St,Carroll St (F G),Carroll St,237,237,F21
Smith-9 Sts,Smith-9 Sts (F G),Smith-9 Sts,238,238,F22
7 Av,7 Av (F G),7 Av,240,240,F24
15 St-Prospect Park,15 St-Prospect Park (F G),15 St-Prospect Park,241,241,F25
Fort Hamilton Pkwy,Fort Hamilton Pkwy (F G),Fort Hamilton Pkwy,242,242,F26
Church Av,Church Av (F G),Church Av,243,243,F27
Ditmas Av,Ditmas Av (F),Ditmas Av,244,244,F29
18 Av,18 Av (F),18 Av,245,245,F30
Avenue I,Avenue I (F),Avenue I,246,246,F31
Bay Pkwy,Bay Pkwy (F),Bay Pkwy,247,247,F32
Avenue N,Avenue N (F),Avenue N,248,248,F33
Avenue P,Avenue P (F),Avenue P,249,249,F34
Kings Hwy,Kings Hwy (F),Kings Hwy,250,250,F35
Avenue U,Avenue U (F),Avenue U,251,251,F36
Avenue X,Avenue X (F),Avenue X,252,252,F38
Neptune Av,Neptune Av (F),Neptune Av,253,253,F39
Jamaica-179 St,Jamaica-179 St (F),Jamaica-179 St,254,254,F01
169 St,169 St (F),169 St,255,255,F02
